,date,university,department,code,name,prerequisites,number_of_prerequisites
0,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,MA10001,Mathematics-I, ,0
1,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,PH10001/CY10001,Physics/Chemistry, ,0
2,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,ME10001/HS11001,Mechanics/English for Communication, ,0
3,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,EE10001/CS11001,Electrical Technology/Programming and Data Structures, ,0
4,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,EE19001/CS19001,Electrical Technology Lab/Programming and Data Structures Lab, ,0
5,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,ME19001/CE19001,Introduction to Manufacturing Processes/Engineering Drawing and Graphics, ,0
6,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,PH19001/CY19001,Physics Lab/Chemistry Lab, ,0
7,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,EA19001,EAA-I, ,0
8,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,MA10002,Mathematics-II, ,0
9,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CY10002/PH10002,Chemistry/Physics, ,0
10,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,HS11002/ME10002,English for Communication/Mechanics, ,0
11,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS11002/EE10002,Programming and Data Structures/Electrical Technology, ,0
12,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS19002/EE19002,Programming and Data Structures Lab/Electrical Technology Lab, ,0
13,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CE19002/ME19002,Engineering Drawing and Graphics/Introduction to Manufacturing Processes, ,0
14,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CY19002/PH19002,Chemistry Lab/Physics Lab, ,0
15,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,EA19002,EAA-II, ,0
16,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS21001,Discrete Structures,MA10001; MA10002,2
17,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS21003,Algorithms-I,CS11001/02; CS19001/02,2
18,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,EC21001,Introduction to Electronics, ,0
19,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,EC29001,Introduction to Electronics Laboratory, ,0
20,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,EE21001,Signals and Networks, ,0
21,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Breadth-I, ,0
22,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS29003,Algorithms Laboratory, ,0
23,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,EE29001,Signals and Networks Laboratory, ,0
24,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,EA19003,EAA-III, ,0
25,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS21002,Switching Circuits and Logic Design,EC21001,1
26,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS21004,Formal Languages and Automata Theory,CS21001,1
27,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS20006,Software Engineering,CS11001/02; CS19001/02,2
28,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,MA20002,Probability and Statistics , ,0
29,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Breadth-II, ,0
30,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS29002,Switching Circuits Laboratory, ,0
31,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS29006,Software Engineering Laboratory, ,0
32,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,EA19004,EAA-IV, ,0
33,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS31001,Computer Organization and Architecture,CS21002; CS29002,2
34,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS30003,Compilers,CS21004,1
35,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS31005,Algorithms-II,CS21001; CS21003; CS29003,3
36,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Breadth-III, ,0
37,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,HSS, ,0
38,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS39001,Computer Organization Laboratory, ,0
39,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS39003,Compilers Laboratory, ,0
40,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS30002,Operating Systems,CS31001; CS39001,2
41,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS31004,Theory of Computation,CS21004,1
42,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Elective-I (with lab component), ,0
43,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Elective-II, ,0
44,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Breadth-IV (IEM), ,0
45,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS39002,Operating Systems Laboratory, ,0
46,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS40001,Computer Networks,CS30002; CS39002,2
47,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Elective-III, ,0
48,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Elective-IV, ,0
49,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Elective-V, ,0
50,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Breadth-V (HSS), ,0
51,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS49001,Computer Networks Laboratory, ,0
52,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS47001,Project, ,0
53,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS48001,Industrial Training, ,0
54,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Elective-VI, ,0
55,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Elective-VII, ,0
56,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Elective-VIII, ,0
57,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Breadth-VI, ,0
58,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS47002,Project, ,0
59,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS48002,Comprehensive Viva-voce, ,0
60,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS40001,Computer Networks,CS30002; CS39002,2
61,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS60003/CS41201,High Performance Computer Architecture/Advanced Computer Architecture,CS31001; CS39001; CS30002; CS39002,4
62,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Elective-III, ,0
63,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Elective-IV, ,0
64,11/04/2016,IIT-Kharagpur,Computer Science and Engineering, ,Breadth-V (HSS), ,0
65,11/04/2016,IIT-Kharagpur,Computer Science and Engineering,CS49001,Networks Laboratory, ,0
